"","Runs","Mins","BF","X4s","X6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start.Date"
"1",12,33,22,1,0,54.54,2,"lbw","First","Sri Lanka","Dambulla","18-Aug-08"
"2",37,82,67,6,0,55.22,2,"caught","Second","Sri Lanka","Dambulla","20-Aug-08"
"3",25,40,38,4,0,65.78,1,"run out","First","Sri Lanka","Colombo (RPS)","24-Aug-08"
"4",54,87,66,7,0,81.81,1,"bowled","First","Sri Lanka","Colombo (RPS)","27-Aug-08"
"5",31,45,46,3,1,67.39,1,"lbw","Second","Sri Lanka","Colombo (RPS)","29-Aug-08"
"6",2,6,2,0,0,100,7,"not out","First","Sri Lanka","Colombo (RPS)","14-Sep-09"
"7",30,53,41,3,0,73.17,4,"caught","Second","Australia","Vadodara","25-Oct-09"
"8",10,32,16,1,0,62.5,3,"caught","Second","Australia","Mohali","02-Nov-09"
"9",27,20,19,4,0,142.1,7,"bowled","First","Sri Lanka","Rajkot","15-Dec-09"
"10",54,93,65,7,0,83.07,4,"lbw","First","Sri Lanka","Nagpur","18-Dec-09"
"11",91,136,102,7,0,89.21,3,"caught","Second","Bangladesh","Dhaka","07-Jan-10"
"12",102,128,95,11,0,107.36,3,"not out","Second","Bangladesh","Dhaka","11-Jan-10"
"13",18,28,29,1,0,62.06,3,"caught","First","Zimbabwe","Harare","03-Jun-10"
"14",10,13,14,1,0,71.42,3,"caught","First","Sri Lanka","Dambulla","22-Jun-10"
"15",28,57,34,4,0,82.35,3,"caught","First","Sri Lanka","Dambulla","24-Jun-10"
"16",0,5,3,0,0,0,3,"caught","Second","Sri Lanka","Dambulla","16-Aug-10"
"17",37,98,57,5,0,64.91,3,"caught","Second","Sri Lanka","Dambulla","28-Aug-10"
"18",118,193,121,11,1,97.52,3,"caught","Second","Australia","Visakhapatnam","20-Oct-10"
"19",105,162,104,10,0,100.96,3,"caught","First","New Zealand","Guwahati","28-Nov-10"
"20",64,78,73,8,0,87.67,3,"caught","Second","New Zealand","Jaipur","01-Dec-10"
"21",63,83,70,6,2,90,3,"not out","Second","New Zealand","Vadodara","04-Dec-10"
"22",0,3,2,0,0,0,3,"caught","Second","New Zealand","Bengaluru","07-Dec-10"
"23",2,10,8,0,0,25,3,"caught","Second","New Zealand","Chennai","10-Dec-10"
"24",54,122,70,2,1,77.14,3,"caught","Second","South Africa","Durban","12-Jan-11"
"25",22,43,34,1,0,64.7,3,"run out","First","South Africa","Johannesburg","15-Jan-11"
"26",28,51,41,5,0,68.29,3,"caught","Second","South Africa","Cape Town","18-Jan-11"
"27",87,126,92,7,2,94.56,3,"not out","Second","South Africa","Port Elizabeth","21-Jan-11"
"28",2,11,6,0,0,33.33,3,"caught","Second","South Africa","Centurion","23-Jan-11"
"29",100,113,83,8,2,120.48,4,"not out","First","Bangladesh","Dhaka","19-Feb-11"
"30",34,82,53,3,0,64.15,4,"run out","Second","Ireland","Bengaluru","06-Mar-11"
"31",12,16,20,2,0,60,5,"bowled","Second","Netherlands","Delhi","09-Mar-11"
"32",1,2,3,0,0,33.33,7,"caught","First","South Africa","Nagpur","12-Mar-11"
"33",59,128,76,5,0,77.63,3,"bowled","First","West Indies","Chennai","20-Mar-11"
"34",24,38,33,1,0,72.72,4,"caught","Second","Australia","Ahmedabad","24-Mar-11"
"35",9,20,21,0,0,42.85,4,"caught","First","Pakistan","Mohali","30-Mar-11"
"36",35,69,49,4,0,71.42,4,"caught","Second","Sri Lanka","Mumbai","02-Apr-11"
"37",2,5,8,0,0,25,3,"caught","Second","West Indies","Port of Spain","06-Jun-11"
"38",81,118,103,6,1,78.64,3,"caught","Second","West Indies","Port of Spain","08-Jun-11"
"39",0,1,1,0,0,0,3,"lbw","Second","West Indies","North Sound","11-Jun-11"
"40",22,68,33,1,0,66.66,3,"stumped","Second","West Indies","North Sound","13-Jun-11"
"41",94,135,104,10,0,90.38,3,"run out","First","West Indies","Kingston","16-Jun-11"
"42",9,9,9,0,0,100,4,"caught","First","England","Southampton","06-Sep-11"
"43",7,18,18,0,0,38.88,4,"caught","First","England","The Oval","09-Sep-11"
"44",107,102,93,9,1,115.05,4,"hit wicket","First","England","Cardiff","16-Sep-11"
"45",37,70,63,0,0,58.73,4,"caught","First","England","Hyderabad (Deccan)","14-Oct-11"
"46",112,134,98,16,0,114.28,4,"not out","Second","England","Delhi","17-Oct-11"
"47",35,42,30,5,0,116.66,4,"lbw","Second","England","Mohali","20-Oct-11"
"48",0,5,5,0,0,0,3,"bowled","First","England","Kolkata","25-Oct-11"
"49",3,13,6,0,0,50,4,"bowled","Second","West Indies","Cuttack","29-Nov-11"
"50",117,154,123,14,0,95.12,4,"caught","Second","West Indies","Visakhapatnam","02-Dec-11"
"51",20,21,30,3,0,66.66,4,"lbw","Second","West Indies","Ahmedabad","05-Dec-11"
"52",23,15,11,3,0,209.09,6,"not out","First","West Indies","Indore","08-Dec-11"
"53",80,99,85,5,0,94.11,5,"caught","First","West Indies","Chennai","11-Dec-11"
"54",31,30,34,3,0,91.17,3,"caught","Second","Australia","Melbourne","05-Feb-12"
"55",18,41,28,1,0,64.28,3,"caught","Second","Australia","Adelaide","12-Feb-12"
"56",12,44,25,0,0,48,3,"caught","Second","Australia","Brisbane","19-Feb-12"
"57",21,36,27,2,0,77.77,4,"caught","Second","Australia","Sydney","26-Feb-12"
"58",66,126,82,5,0,80.48,3,"bowled","First","Bangladesh","Dhaka","16-Mar-12"
"59",106,158,113,9,0,93.8,3,"caught","First","Sri Lanka","Hambantota","21-Jul-12"
"60",1,6,5,0,0,20,3,"caught","First","Sri Lanka","Hambantota","24-Jul-12"
"61",38,80,65,2,0,58.46,3,"caught","Second","Sri Lanka","Colombo (RPS)","28-Jul-12"
"62",128,187,119,12,1,107.56,3,"not out","Second","Sri Lanka","Colombo (RPS)","31-Jul-12"
"63",23,42,35,2,0,65.71,3,"lbw","First","Sri Lanka","Pallekele","04-Aug-12"
"64",0,9,5,0,0,0,3,"bowled","First","Pakistan","Chennai","30-Dec-12"
"65",6,12,9,1,0,66.66,3,"caught","Second","Pakistan","Kolkata","03-Jan-13"
"66",7,25,17,1,0,41.17,3,"caught","First","Pakistan","Delhi","06-Jan-13"
"67",15,45,22,1,0,68.18,3,"caught","Second","England","Rajkot","11-Jan-13"
"68",37,86,54,1,1,68.51,3,"caught","First","England","Kochi","15-Jan-13"
"69",77,110,79,9,2,97.46,3,"not out","Second","England","Ranchi","19-Jan-13"
"70",26,44,33,3,0,78.78,3,"caught","Second","England","Mohali","23-Jan-13"
"71",0,1,1,0,0,0,3,"caught","First","England","Dharamsala","27-Jan-13"
"72",43,66,34,4,1,126.47,3,"caught","First","England","Birmingham","23-Jun-13"
"73",11,19,21,0,1,52.38,3,"caught","First","West Indies","Kingston","30-Jun-13"
"74",102,120,83,13,2,122.89,3,"caught","First","West Indies","Port of Spain","05-Jul-13"
"75",115,133,108,13,1,106.48,3,"caught","Second","Zimbabwe","Harare","24-Jul-13"
"76",14,35,18,2,0,77.77,3,"caught","First","Zimbabwe","Harare","26-Jul-13"
"77",68,128,88,5,1,77.27,3,"not out","Second","Zimbabwe","Harare","28-Jul-13"
"78",61,121,85,6,0,71.76,3,"lbw","Second","Australia","Pune","13-Oct-13"
"79",100,82,52,8,7,192.3,3,"not out","Second","Australia","Jaipur","16-Oct-13"
"80",68,121,73,9,0,93.15,3,"caught","First","Australia","Mohali","19-Oct-13"
"81",115,104,66,18,1,174.24,3,"not out","Second","Australia","Nagpur","30-Oct-13"
"82",0,4,3,0,0,0,3,"run out","First","Australia","Bengaluru","02-Nov-13"
"83",86,120,84,9,2,102.38,3,"caught","Second","West Indies","Kochi","21-Nov-13"
"84",99,159,100,9,0,99,3,"caught","First","West Indies","Visakhapatnam","24-Nov-13"
"85",19,19,18,3,0,105.55,3,"caught","Second","West Indies","Kanpur","27-Nov-13"
"86",31,41,35,5,0,88.57,3,"caught","Second","South Africa","Johannesburg","05-Dec-13"
"87",0,7,5,0,0,0,3,"caught","Second","South Africa","Durban","08-Dec-13"
"88",123,179,111,11,2,110.81,3,"caught","Second","New Zealand","Napier","19-Jan-14"
"89",78,88,65,7,2,120,3,"caught","Second","New Zealand","Hamilton","22-Jan-14"
"90",2,14,10,0,0,20,2,"caught","First","New Zealand","Hamilton","28-Jan-14"
"91",82,129,78,7,3,105.12,3,"caught","Second","New Zealand","Wellington","31-Jan-14"
"92",136,157,122,16,2,111.47,3,"bowled","Second","Bangladesh","Fatullah","26-Feb-14"
"93",0,1,3,0,0,0,3,"caught","First","England","Cardiff","27-Aug-14"
"94",40,67,50,2,1,80,3,"caught","Second","England","Nottingham","30-Aug-14"
"95",1,9,3,0,0,33.33,3,"not out","Second","England","Birmingham","02-Sep-14"
"96",13,25,21,2,0,61.9,3,"caught","Second","England","Leeds","05-Sep-14"
"97",2,7,5,0,0,40,3,"caught","Second","West Indies","Kochi","08-Oct-14"
"98",62,124,78,5,0,79.48,4,"caught","First","West Indies","Delhi","11-Oct-14"
"99",127,164,114,13,3,111.4,3,"run out","First","West Indies","Dharamsala","17-Oct-14"
"100",22,34,21,2,0,104.76,4,"caught","First","Sri Lanka","Cuttack","02-Nov-14"
"101",66,109,64,6,0,103.12,4,"run out","First","Sri Lanka","Kolkata","13-Nov-14"
"102",139,192,126,12,3,110.31,4,"not out","Second","Sri Lanka","Ranchi","16-Nov-14"
"103",9,24,16,0,0,56.25,4,"caught","First","Australia","Melbourne","18-Jan-15"
"104",1,11,13,0,0,7.69,3,"caught","Second","Australia","Sydney","26-Mar-15"
"105",1,9,4,0,0,25,3,"caught","Second","Bangladesh","Dhaka","18-Jun-15"
"106",23,57,27,3,1,85.18,3,"lbw","First","Bangladesh","Dhaka","21-Jun-15"
"107",25,55,35,1,0,71.42,3,"bowled","First","Bangladesh","Dhaka","24-Jun-15"
"108",11,29,18,0,0,61.11,4,"caught","Second","South Africa","Kanpur","11-Oct-15"
"109",12,24,18,0,0,66.66,4,"run out","First","South Africa","Indore","14-Oct-15"
"110",77,155,99,5,0,77.77,3,"caught","Second","South Africa","Rajkot","18-Oct-15"
"111",138,202,140,6,5,98.57,3,"caught","First","South Africa","Chennai","22-Oct-15"
"112",7,11,6,0,1,116.66,3,"caught","Second","South Africa","Mumbai","25-Oct-15"
"113",91,148,97,9,1,93.81,3,"caught","First","Australia","Perth","12-Jan-16"
"114",59,84,67,4,0,88.05,3,"run out","First","Australia","Brisbane","15-Jan-16"
"115",117,174,117,7,2,100,3,"caught","First","Australia","Melbourne","17-Jan-16"
"116",106,131,92,11,1,115.21,3,"caught","Second","Australia","Canberra","20-Jan-16"
"117",8,11,11,1,0,72.72,3,"caught","Second","Australia","Sydney","23-Jan-16"
"118",85,109,81,9,1,104.93,3,"not out","Second","New Zealand","Dharamsala","16-Oct-16"
"119",9,18,13,1,0,69.23,3,"caught","Second","New Zealand","Delhi","20-Oct-16"
"120",154,202,134,16,1,114.92,3,"not out","Second","New Zealand","Mohali","23-Oct-16"
"121",45,64,51,2,1,88.23,3,"caught","Second","New Zealand","Ranchi","26-Oct-16"
"122",65,152,76,2,1,85.52,3,"caught","First","New Zealand","Visakhapatnam","29-Oct-16"
"123",122,147,105,8,5,116.19,3,"caught","Second","England","Pune","15-Jan-17"
"124",8,6,5,2,0,160,3,"caught","First","England","Cuttack","19-Jan-17"
"125",55,81,63,8,0,87.3,3,"caught","Second","England","Kolkata","22-Jan-17"
